Name,Owner,Specialty,Neighborhood,Address,Website,Instagram
Coach Shawn Fitness,Shawn Stinson,Trainer,,,coachshawnfitness.com,coachshawn_fit
DREAM DEVELOPMENT AGENCY,Kei Jackson,"Dance, Choreography",Southside,"601 Garden Lake Drive Riverdale, GA ",Www.dreamsofkei.com,@DreamDAgency
Elevé Dance Studio ,Jelinda Ellis ,Dance,Jackson,242 S Mulberry Street Jackson Ga 30233,Www.elevedancestudio.net,@_elevedancestudio
Fuego Y Hielo Dance Company,Fuquan Ferrell & Candace Joyner,"Dance, Latin, Afrofusion",Lindbergh,"524 Plasters Ave NE, Atlanta, GA 30324",http://fuegoyhielo.com/,@fuegoyhielodance
Heroes and Kingz,Glenn Andrews and Elijah Braddy,"Trainers, Athletic Wear",,,https://www.heroesandkingz.world/,heroesandkingz
Inspire Aerial Arts,Kimberly Sende,Aerial Fitness,Midtown,"549 Amsterdam Ave NE #5, Atlanta, GA 30306",https://inspireaerialarts.com/,inspireaerialarts
MultiFitness ,Omari Hughes,Fitness Studio,Forest Park,"819 Forest Pkwy, Forest Park, GA  30297 ",www.multifitnesstraining.com,MultiFitness15
Pole La Teaz - Brookhaven,,Pole Dancing,Brookhaven,2700 NE Expy Building C Suite 300 Atlanta Ga 30345,https://www.polelateaz.com/,@polelateaz
Pole La Teaz - Johns Creek,,Pole Dancing,Johns Creek,5725 State Bridge Rd. Suite 203 Alpharetta Ga 30022,https://www.polelateaz.com/,@polelateaz
Pole La Teaz - Reynoldstown,,Pole Dancing,Reynoldstown,210 Bill Kennedy Way Suite 902 Atlanta Ga 30316,https://www.polelateaz.com/,@polelateaz
Seviin Yoga,LeNaya & Branden Crawford,Yoga,Kirkwood,"1963 hosea l. williams drive 104-b atlanta, georgia",https://www.seviinyoga.com/,seviinyoga
Stellar Power Yoga ,Miriam Berrouet-Frost,Yoga,Vinings ,"3300 Cobb Parkway, Atlanta, GA. Suite # 110. Atlanta GA 30339",https://www.stellar-poweryoga.com,stellarpoweryoga
The Sky Barre - Brookhaven,Angela Edwards,Aero Fitness,Brookhaven,"2700 NE Expy Building C Suite 300, Atlanta Ga 30345",https://www.theskybarre.com/,@theskybarre
The Sky Barre - Reynoldstown,Angela Edwards,Aero Fitness,Reynoldstown,"210 Bill Kennedy Way, Suite 902, Atlanta Ga 30316",https://www.theskybarre.com/,@theskybarre
Vibe Ride - Grant Park,Courtney Anderson,Cycle Gym,Grant Park,"519 Memorial Dr SE a09, Atlanta, GA 30312",https://theviberide.com/,@theviberide
Vibe Ride - Midtown,Courtney Anderson,Cycle Gym,Midtown,"950 W Peachtree St NW #225, Atlanta, GA 30309",https://theviberide.com/,@theviberide
