Name,Owner,Type of Business,Neighborhood,Address,Website,Instagram
A Breeze of Freedom,,Soap,,,https://abreezeoffreedom.com/collections/not-your-average-soaps,
ATLiER Props,Kelvin “Panda” Tyler,Prop Shop,New Sweetwater Creek,"5475 Tulane Dr SW, Atlanta, GA 30336",https://www.atlierprops.com/,@atlierprops
Boaz Bikes,Emil Nnani,Rentable Bikes/Scooters,,City-wide,https://www.boazbikes.com/,boazbikes
Ceramics On Wheels,Maxine Spence,Mobile Ceramics,Florida,,https://www.ceramicsonwheels.net/,@ceramicsonwheels_usa
Clutch Bicycle Shop,Karli,Bike Shop,West End,"1384 Ralph David Abernathy Blvd ste b, Atlanta, GA 30310",,@clutchbikeshop
Collected ATL,,Vintage Shop,,,,
Custom Car Co. ,Eddie Sawer,Car Customization,,,https://www.customcarco.com/,@customcarco
Hair Café,,,,"2975 Headland Dr. SW, Atlanta, GA 30311",http://www.thehaircafeatlanta.com/,
I Too,,,,"471B Flat Shoals Ave SE, Atlanta, GA 30316",http://itoosalon.com/,
Indique Virgin Hair Extensions,,,,"312 North Highland Ave NE, Ste C, Atlanta, GA 30307",https://www.indiquehair.com/,
L’Artisan Muse,,,,,,
My Fair Sweets,,,,,,
Ponders Cleaners,,,,,,
produce_ed,,,,,,
Retro Elle,Joshelle,Natural Wellness,,,retroelle.com,@retro.elle
Simmy Skincare,,,,,,
Solar Nails,,,,"5975 Roswell Rd NE, Sandy Springs, GA 30328",https://www.yelp.com/biz/solar-nails-sandy-springs,
The Bombchel Factory,,,,,,
Wave Link LLC,,App Builder,,,,
,,,,,,
Find all these locations in this Google Maps Sheet: Black Owned Atlanta ,,,,,,
https://www.google.com/maps/d/viewer?mid=1dGJEJAFZK2dNp724ynOmQe6zwmenG3E0&hl=en&usp=sharing,,,,,,
,,,,,,
"For new submission, click the link below!!!",,,,,,
https://docs.google.com/forms/d/e/1FAIpQLScKgXsFaeceF7LyfvyFVc1ad-HXnYqWlzmekbk3xw9uYkmeMg/viewform?usp=pp_url,,,,,,
,,,,,,
Please use this resource however you would like to support our local ATL community!,,,,,,
,,,,,,
"This list was generated via crowdsourcing, google and the references listed below:",,,,,,
https://atlantafi.com/black-owned-restaurants-in-atlanta/,,,,,,
https://www.atlantaeats.com/blog/29-black-owned-restaurants-in-atlanta/,,,,,,
https://iamblackbusiness.com/,,,,,,
,,,,,,
"Please send edits, additions and corrections to @ATL_food_scene (restaurants/food) or @atlantabeltlinehatesyou (other businesses) on instagram.",,,,,,
,,,,,,
Please feel free to use this shortened link: https://bit.ly/BuyBlackATL,,,,,,
